user_id,user_name,user_url,taste_cnt,follower_cnt,following_cnt
131,duffwhisky,https://distiller.com/profile/duffwhisky,69,0,4
132,Erik-Brotemarkle,https://distiller.com/profile/erik-brotemarkle,39,0,2
133,SeaDyck,https://distiller.com/profile/seadyck,62,1,15
134,NickBuck,https://distiller.com/profile/nickbuck,3,0,16
135,rickhouse4,https://distiller.com/profile/rickhouse4,3,0,2
136,konjis1,https://distiller.com/profile/konjis1,1,1,5
137,Mandy-Lue,https://distiller.com/profile/mandy-lue,1,0,16
138,skrybeone,https://distiller.com/profile/skrybeone,2,1,3
139,ruffneck834,https://distiller.com/profile/ruffneck834,0,0,4
140,dmb7928,https://distiller.com/profile/dmb7928,0,1,3
141,jpipp73,https://distiller.com/profile/jpipp73,9,0,3
142,kencufc,https://distiller.com/profile/kencufc,4,0,2
143,frrstkgr,https://distiller.com/profile/frrstkgr,7,0,20
144,Finger-of-Cratylus,https://distiller.com/profile/finger-of-cratylus,17,8,0
145,trippw123,https://distiller.com/profile/trippw123,0,0,5
146,Bigsigar,https://distiller.com/profile/bigsigar,8,1,4
147,maltymegalodon,https://distiller.com/profile/maltymegalodon,9,0,2
148,MezcalMagic,https://distiller.com/profile/mezcalmagic,103,6,12
149,dahlr17,https://distiller.com/profile/dahlr17,0,0,5
150,Dchav,https://distiller.com/profile/dchav,0,0,8
151,drieken,https://distiller.com/profile/drieken,0,0,6
152,klueck,https://distiller.com/profile/klueck,5,0,4
153,mrkmowers,https://distiller.com/profile/mrkmowers,1,0,22
154,Sampp987,https://distiller.com/profile/sampp987,0,0,1
155,legalcomplex,https://distiller.com/profile/legalcomplex,32,4,2
156,redneckwookie,https://distiller.com/profile/redneckwookie,35,2,4
157,Anthony-Vella,https://distiller.com/profile/anthony-vella,59,3,4
158,beawhiskeynerd,https://distiller.com/profile/beawhiskeynerd,3,4,5
159,jameshry,https://distiller.com/profile/jameshry,16,0,2
160,luckytravis,https://distiller.com/profile/luckytravis,64,0,11
161,malt_muser,https://distiller.com/profile/malt_muser,273,69,36
162,Harrison-Fay,https://distiller.com/profile/harrison-fay,6,0,12
163,DistillerJohn,https://distiller.com/profile/distillerjohn,3,2,4
164,Justin-Frape,https://distiller.com/profile/justin-frape,0,3,6
165,KWR550,https://distiller.com/profile/kwr550,0,0,4
166,jfranz,https://distiller.com/profile/jfranz,0,0,3
167,bobmd,https://distiller.com/profile/bobmd,4,0,1
168,DJPUK,https://distiller.com/profile/djpuk,6,2,4
169,jefeatx,https://distiller.com/profile/jefeatx,3,0,3
170,act,https://distiller.com/profile/act,7,1,6
171,AdamHan,https://distiller.com/profile/adamhan,1,0,15
172,Sarah-Zimmerman,https://distiller.com/profile/sarah-zimmerman,10,0,2
173,MMMNRICE,https://distiller.com/profile/mmmnrice,120,70,67
174,BeppeCovfefe,https://distiller.com/profile/beppecovfefe,185,87,50
175,dadako3131,https://distiller.com/profile/dadako3131,33,0,3
176,MVII,https://distiller.com/profile/mvii,0,0,3
177,Maluther,https://distiller.com/profile/maluther,44,1,1
178,Lexymarty,https://distiller.com/profile/lexymarty,0,1,1
179,On-My-Last-Nerve,https://distiller.com/profile/on-my-last-nerve,4,0,4
180,tvanreenen,https://distiller.com/profile/tvanreenen,0,1,3
181,Jerry-Mcclintock,https://distiller.com/profile/jerry-mcclintock,0,0,3
182,JB-Champion,https://distiller.com/profile/jb-champion,0,0,1
183,m55d,https://distiller.com/profile/m55d,35,0,4
184,manikarora,https://distiller.com/profile/manikarora,0,0,3
185,Kayem,https://distiller.com/profile/kayem,15,6,6
186,Jon-Herrmann,https://distiller.com/profile/jon-herrmann,0,0,10
187,gmrocks,https://distiller.com/profile/gmrocks,26,0,2
188,gags44,https://distiller.com/profile/gags44,1,0,1
189,Thebennybenny,https://distiller.com/profile/thebennybenny,51,0,1
190,skosh,https://distiller.com/profile/skosh,0,1,7
191,Jack-Goldspink,https://distiller.com/profile/jack-goldspink,0,0,1
192,Rob-Morton,https://distiller.com/profile/rob-morton,0,4,4
193,eprodri,https://distiller.com/profile/eprodri,2,0,2
194,boomsheika3,https://distiller.com/profile/boomsheika3,0,0,3
195,DenJazzer-Joye,https://distiller.com/profile/denjazzer-joye,7,0,1
196,Frank-Gabriel-Castellanos,https://distiller.com/profile/frank-gabriel-castellanos,0,0,6
197,Drunkgary,https://distiller.com/profile/drunkgary,1,0,5
198,Tequilas,https://distiller.com/profile/tequilas,1,2,3
199,Remington-Heng,https://distiller.com/profile/remington-heng,0,0,2
200,Jon-Christofeno,https://distiller.com/profile/jon-christofeno,23,0,1
201,Blakermagee,https://distiller.com/profile/blakermagee,9,2,3
202,Matthew-Thompson,https://distiller.com/profile/matthew-thompson,3,0,2
203,mitchmdj,https://distiller.com/profile/mitchmdj,3,0,11
204,Claude-Palacios,https://distiller.com/profile/claude-palacios,0,2,6
205,TheStache,https://distiller.com/profile/thestache,0,1,19
206,Mr_Chaston89,https://distiller.com/profile/mr_chaston89,2,0,6
207,--136,https://distiller.com/profile/136,5,0,4
208,Kc-Bowling,https://distiller.com/profile/kc-bowling,146,4,4
209,Generously_Paul,https://distiller.com/profile/generously_paul,372,734,97
210,ShayneP,https://distiller.com/profile/shaynep,16,1,2
211,papawhizky,https://distiller.com/profile/papawhizky,3,0,16
212,Myra-Tennille-Mathis,https://distiller.com/profile/myra-tennille-mathis,0,1,3
213,Zozo_The_Legend,https://distiller.com/profile/zozo_the_legend,30,1,32
214,Chang-Shen,https://distiller.com/profile/chang-shen,21,1,4
215,mec1919,https://distiller.com/profile/mec1919,203,13,8
216,Sandip-Dev,https://distiller.com/profile/sandip-dev,5,0,3
